Job Title,Salary Minimum,Salary Maximum,Salary Average,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Analyst - 100% REMOTE,$40.00 /hr,$46.00,$43.00 /hr (est.),5.0,"SGA
5.0",Remote,Unknown,,Company - Public,,,Unknown / Non-Applicable
Data Analyst needed! Start ASAP!,$55K ,$65K,"$60,000 /yr (est.)",4.1,"Noor Staffing Group
4.1","New York, NY",51 to 200 Employees,2015,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable
Consultant - Data Analyst,,,,3.3,"Infosys
3.3",Remote,10000+ Employees,1981,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD)
Data Consultant,$41K ,$66K,"$53,774 /yr (est.)",,NC Rate Bureau,"Raleigh, NC",,,,,,
Data Analyst,$97K ,$135K,"$116,000 /yr (est.)",3.6,"KEYENCE
3.6","Itasca, IL",5001 to 10000 Employees,1974,Company - Public,Machinery Manufacturing,Manufacturing,$5 to $10 million (USD)
"Strategy and Data Analyst, Sustainability",$79K ,$164K,"$113,864 /yr (est.)",4.0,"Uber
4.0","San Francisco, CA",10000+ Employees,2009,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
Data Analyst + Apprentice (Entry-Level),$35K ,$45K,"$40,000 /yr (est.)",3.3,"New Apprenticeship
3.3","Raleigh, NC",1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable
Customs Compliance Analyst,$39K ,$69K,"$51,933 /yr (est.)",3.6,"Primark - US
3.6","Boston, MA",10000+ Employees,1969,Subsidiary or Business Segment,"Department, Clothing & Shoe Stores",Retail & Wholesale,$2 to $5 billion (USD)
Administrative Assistant / Data Analyst Supporting the DEA,$20.58 /hr,$20.58,$20.58 /hr (est.),3.3,"FSA Federal
3.3","Cincinnati, OH",1001 to 5000 Employees,2004,Company - Private,HR Consulting,Human Resources & Staffing,$50 to $100 million (USD)
"Analyst, Product Research, Telematics & Mobility Data Products",$62K ,$100K,"$81,200 /yr (est.)",3.9,"Liberty Mutual Insurance
3.9",Remote,10000+ Employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD)
Retail Floor Plan Analyst Planograms,$25.00 /hr,$27.00,$26.00 /hr (est.),3.8,"Bay State Search
3.8",Remote,501 to 1000 Employees,2002,Company - Private,Business Consulting,Management & Consulting,$500 million to $1 billion (USD)
Data Analyst Supporting the DEA,$25.29 /hr,$25.29,$25.29 /hr (est.),3.3,"FSA Federal
3.3","Quantico, VA",1001 to 5000 Employees,2004,Company - Private,HR Consulting,Human Resources & Staffing,$50 to $100 million (USD)
Data Analyst Pharmacy,,,,4.0,"Boston Medical Center
4.0","Boston, MA",5001 to 10000 Employees,1996,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
Staff Cybersecurity Analyst (Remote),$120K ,$210K,"$165,000 /yr (est.)",3.8,"The Home Depot
3.8","Atlanta, GA",10000+ Employees,1978,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$10+ billion (USD)
Saybrus Partners- Data Reporting Analyst,$50K ,$60K,"$54,815 /yr (est.)",3.5,"Saybrus Partners
3.5",Remote,51 to 200 Employees,2010,Company - Private,Insurance Agencies & Brokerages,Insurance,$100 to $500 million (USD)
"Remote - Test Data Analyst (SQL queries, ALM, Excel)",$50.00 /hr,$55.00,$52.50 /hr (est.),,Compest Solutions Inc,Remote,,,,,,
Data Analyst,$50.00 /hr,$60.00,$55.00 /hr (est.),,Insight Global,"San Francisco, CA",,,,,,
ESG Data Analyst,,,,4.7,"Verdani Partners
4.7",Remote,1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable
Data Analyst,$63.00 /hr,$65.00,$64.00 /hr (est.),3.8,"Who... a staffing company
3.8",Remote,1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable
Data Analyst : 320637,$63.00 /hr,$67.00,$65.00 /hr (est.),4.5,"CorTech
4.5","San Francisco, CA",10000+ Employees,1999,Company - Private,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD)
"Business Analyst, E-Commerce",$46K ,$106K,"$69,677 /yr (est.)",2.9,"Alphabroder
2.9","Feasterville Trevose, PA",1001 to 5000 Employees,,Company - Private,,,Unknown / Non-Applicable
Data Analyst,$50.00 /hr,$60.00,$55.00 /hr (est.),,Insight Global,"San Francisco, CA",,,,,,
Clinical Research Data Analyst,$65K ,$80K,"$72,500 /yr (est.)",3.3,"Prevail Infoworks
3.3",Remote,51 to 200 Employees,,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable
Data Reporting Analyst,$65K ,$85K,"$75,000 /yr (est.)",4.4,"iTalent Digital
4.4",Remote,201 to 500 Employees,2005,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
REMOTE Data Analyst,$130K ,$150K,"$140,000 /yr (est.)",4.1,"CyberCoders
4.1","Los Angeles, CA",201 to 500 Employees,1999,Subsidiary or Business Segment,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD)
Data Analyst,$65K ,$80K,"$72,500 /yr (est.)",4.1,"Meritize
4.1",Remote,51 to 200 Employees,2016,Company - Private,Banking & Lending,Financial Services,Unknown / Non-Applicable
Data analyst Level 1,$35.00 /hr,$42.00,$38.50 /hr (est.),,"Computer Enterprises, Inc. (CEI)","Cincinnati, OH",Unknown,,Company - Public,,,Unknown / Non-Applicable
Data Analyst,$75K ,$90K,"$82,500 /yr (est.)",,"J2A Systems, LLC",Remote,,,,,,
Data Analyst - SQL/Excel,$68K ,$139K,"$97,144 /yr (est.)",4.8,"Ursus, Inc.
4.8","Menlo Park, CA",51 to 200 Employees,2015,Company - Private,Information Technology Support Services,Information Technology,$25 to $50 million (USD)
Data Analyst - 100% REMOTE,$40.00 /hr,$46.00,$43.00 /hr (est.),5.0,"SGA
5.0",Remote,Unknown,,Company - Public,,,Unknown / Non-Applicable
Data Analyst - SQL/Excel,$68K ,$139K,"$97,144 /yr (est.)",4.8,"Ursus, Inc.
4.8","Menlo Park, CA",51 to 200 Employees,2015,Company - Private,Information Technology Support Services,Information Technology,$25 to $50 million (USD)
Data Analyst - 100% REMOTE,$40.00 /hr,$46.00,$43.00 /hr (est.),5.0,"SGA
5.0",Remote,Unknown,,Company - Public,,,Unknown / Non-Applicable
Consultant - Data Analyst,,,,3.3,"Infosys
3.3",Remote,10000+ Employees,1981,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD)
"Analyst, Product Research, Telematics & Mobility Data Products",$62K ,$100K,"$81,200",3.9,"Liberty Mutual Insurance
3.9",Remote,10000+ Employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD)
Data Consultant,$41K ,$66K,"$53,774 /yr (est.)",,NC Rate Bureau,"Raleigh, NC",,,,,,
Data Analyst,$97K ,$135K,"$116,000 /yr (est.)",3.6,"KEYENCE
3.6","Itasca, IL",5001 to 10000 Employees,1974,Company - Public,Machinery Manufacturing,Manufacturing,$5 to $10 million (USD)
Data Analyst + Apprentice (Entry-Level),$35K ,$45K,"$40,000 /yr (est.)",3.3,"New Apprenticeship
3.3","Raleigh, NC",1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable
Retail Floor Plan Analyst Planograms,$25.00 /hr,$27.00,$26.00 /hr (est.),3.8,"Bay State Search
3.8",Remote,501 to 1000 Employees,2002,Company - Private,Business Consulting,Management & Consulting,$500 million to $1 billion (USD)
"Strategy and Data Analyst, Sustainability",$79K ,$164K,"$113,864 /yr (est.)",4.0,"Uber
4.0","San Francisco, CA",10000+ Employees,2009,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
Administrative Assistant / Data Analyst Supporting the DEA,$20.58 /hr,$20.58,$20.58 /hr (est.),3.3,"FSA Federal
3.3","Cincinnati, OH",1001 to 5000 Employees,2004,Company - Private,HR Consulting,Human Resources & Staffing,$50 to $100 million (USD)
Data Analyst Pharmacy,,,,4.0,"Boston Medical Center
4.0","Boston, MA",5001 to 10000 Employees,1996,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
Data Analyst Supporting the DEA,$25.29 /hr,$25.29,$25.29 /hr (est.),3.3,"FSA Federal
3.3","Quantico, VA",1001 to 5000 Employees,2004,Company - Private,HR Consulting,Human Resources & Staffing,$50 to $100 million (USD)
Customs Compliance Analyst,$39K ,$69K,"$51,933 /yr (est.)",3.6,"Primark - US
3.6","Boston, MA",10000+ Employees,1969,Subsidiary or Business Segment,"Department, Clothing & Shoe Stores",Retail & Wholesale,$2 to $5 billion (USD)
Data Analyst,$63.00 /hr,$65.00,$64.00 /hr (est.),3.8,"Who... a staffing company
3.8",Remote,1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable
"Remote - Test Data Analyst (SQL queries, ALM, Excel)",$50.00 /hr,$55.00,$52.50 /hr (est.),,Compest Solutions Inc,Remote,,,,,,
Power BI Consultant,$70.00 /hr,$80.00,$75.00 /hr (est.),4.1,"Nordic Consulting Partners, Inc.
4.1",Remote,1001 to 5000 Employees,2010,Company - Private,Health Care Services & Hospitals,Healthcare,$100 to $500 million (USD)
Saybrus Partners- Data Reporting Analyst,$50K ,$60K,"$54,815 /yr (est.)",3.5,"Saybrus Partners
3.5",Remote,51 to 200 Employees,2010,Company - Private,Insurance Agencies & Brokerages,Insurance,$100 to $500 million (USD)
ESG Data Analyst,,,,4.7,"Verdani Partners
4.7",Remote,1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable
Security Data Analyst,,,,,Stage 2 Security,Remote,Unknown,,Company - Public,,,Unknown / Non-Applicable
Staff Cybersecurity Analyst (Remote),$120K ,$210K,"$165,000 /yr (est.)",3.8,"The Home Depot
3.8","Atlanta, GA",10000+ Employees,1978,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$10+ billion (USD)
REMOTE Data Analyst,$130K ,$150K,"$140,000 /yr (est.)",4.1,"CyberCoders
4.1","Los Angeles, CA",201 to 500 Employees,1999,Subsidiary or Business Segment,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD)
Data Reporting Analyst,$65K ,$85K,"$75,000 /yr (est.)",4.4,"iTalent Digital
4.4",Remote,201 to 500 Employees,2005,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Data Analyst,$50.00 /hr,$60.00,$55.00 /hr (est.),,Insight Global,"San Francisco, CA",,,,,,
Data Analyst,$50.00 /hr,$60.00,$55.00 /hr (est.),,Insight Global,"San Francisco, CA",,,,,,
Data analyst Level 1,$35.00 /hr,$42.00,$38.50 /hr (est.),,"Computer Enterprises, Inc. (CEI)","Cincinnati, OH",Unknown,,Company - Public,,,Unknown / Non-Applicable
Data Analyst,$75K ,$90K,"$82,500 /yr (est.)",,"J2A Systems, LLC",Remote,,,,,,
Data Analyst,$47K ,$93K,"$66,020 /yr (est.)",3.6,"Advantage Technical
3.6","Boston, MA",201 to 500 Employees,1969,Company - Private,HR Consulting,Human Resources & Staffing,$100 to $500 million (USD)
Data Analyst,$75K ,$90K,"$82,500 /yr (est.)",,"J2A Systems, LLC",Remote,,,,,,
Data Analyst,$90K ,$90K,"$90,000 /yr (est.)",2.7,"Ultimate Health Plans Inc.
2.7",Remote,1 to 50 Employees,,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable
Data Analyst : 320637,$63.00 /hr,$67.00,$65.00 /hr (est.),4.5,"CorTech
4.5","San Francisco, CA",10000+ Employees,1999,Company - Private,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD)
Data Analyst,$50.00 /hr,$60.00,$55.00 /hr (est.),,Insight Global,"San Francisco, CA",,,,,,
Data Analyst - 100% REMOTE,$40.00 /hr,$46.00,$43.00 /hr (est.),5.0,"SGA
5.0",Remote,Unknown,,Company - Public,,,Unknown / Non-Applicable
Consultant - Data Analyst,,,,3.3,"Infosys
3.3",Remote,10000+ Employees,1981,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD)
Data Consultant,$41K ,$66K,"$53,774 /yr (est.)",,NC Rate Bureau,"Raleigh, NC",,,,,,
"Analyst, Product Research, Telematics & Mobility Data Products",$62K ,$100K,"$81,200",3.9,"Liberty Mutual Insurance
3.9",Remote,10000+ Employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD)
Data Analyst,$97K ,$135K,"$116,000 /yr (est.)",3.6,"KEYENCE
3.6","Itasca, IL",5001 to 10000 Employees,1974,Company - Public,Machinery Manufacturing,Manufacturing,$5 to $10 million (USD)
Data Analyst + Apprentice (Entry-Level),$35K ,$45K,"$40,000 /yr (est.)",3.3,"New Apprenticeship
3.3","Raleigh, NC",1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable
"Strategy and Data Analyst, Sustainability",$79K ,$164K,"$113,864 /yr (est.)",4.0,"Uber
4.0","San Francisco, CA",10000+ Employees,2009,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
Retail Floor Plan Analyst Planograms,$25.00 /hr,$27.00,$26.00 /hr (est.),3.8,"Bay State Search
3.8",Remote,501 to 1000 Employees,2002,Company - Private,Business Consulting,Management & Consulting,$500 million to $1 billion (USD)
Administrative Assistant / Data Analyst Supporting the DEA,$20.58 /hr,$20.58,$20.58 /hr (est.),3.3,"FSA Federal
3.3","Cincinnati, OH",1001 to 5000 Employees,2004,Company - Private,HR Consulting,Human Resources & Staffing,$50 to $100 million (USD)
Data Analyst Supporting the DEA,$25.29 /hr,$25.29,$25.29 /hr (est.),3.3,"FSA Federal
3.3","Quantico, VA",1001 to 5000 Employees,2004,Company - Private,HR Consulting,Human Resources & Staffing,$50 to $100 million (USD)
Data Analyst Pharmacy,,,,4.0,"Boston Medical Center
4.0","Boston, MA",5001 to 10000 Employees,1996,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
Customs Compliance Analyst,$39K ,$69K,"$51,933 /yr (est.)",3.6,"Primark - US
3.6","Boston, MA",10000+ Employees,1969,Subsidiary or Business Segment,"Department, Clothing & Shoe Stores",Retail & Wholesale,$2 to $5 billion (USD)
"Remote - Test Data Analyst (SQL queries, ALM, Excel)",$50.00 /hr,$55.00,$52.50 /hr (est.),,Compest Solutions Inc,Remote,,,,,,
Data Analyst,$63.00 /hr,$65.00,$64.00 /hr (est.),3.8,"Who... a staffing company
3.8",Remote,1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable
Power BI Consultant,$70.00 /hr,$80.00,$75.00 /hr (est.),4.1,"Nordic Consulting Partners, Inc.
4.1",Remote,1001 to 5000 Employees,2010,Company - Private,Health Care Services & Hospitals,Healthcare,$100 to $500 million (USD)
ESG Data Analyst,,,,4.7,"Verdani Partners
4.7",Remote,1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable
Saybrus Partners- Data Reporting Analyst,$50K ,$60K,"$54,815 /yr (est.)",3.5,"Saybrus Partners
3.5",Remote,51 to 200 Employees,2010,Company - Private,Insurance Agencies & Brokerages,Insurance,$100 to $500 million (USD)
Staff Cybersecurity Analyst (Remote),$120K ,$210K,"$165,000 /yr (est.)",3.8,"The Home Depot
3.8","Atlanta, GA",10000+ Employees,1978,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$10+ billion (USD)
REMOTE Data Analyst,$130K ,$150K,"$140,000 /yr (est.)",4.1,"CyberCoders
4.1","Los Angeles, CA",201 to 500 Employees,1999,Subsidiary or Business Segment,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD)
Data Reporting Analyst,$65K ,$85K,"$75,000 /yr (est.)",4.4,"iTalent Digital
4.4",Remote,201 to 500 Employees,2005,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Data Analyst,$50.00 /hr,$60.00,$55.00 /hr (est.),,Insight Global,"San Francisco, CA",,,,,,
Data Analyst,$90K ,$90K,"$90,000 /yr (est.)",2.7,"Ultimate Health Plans Inc.
2.7",Remote,1 to 50 Employees,,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable
Data Analyst,$47K ,$93K,"$66,020 /yr (est.)",3.6,"Advantage Technical
3.6","Boston, MA",201 to 500 Employees,1969,Company - Private,HR Consulting,Human Resources & Staffing,$100 to $500 million (USD)
Data Analyst,$75K ,$90K,"$82,500 /yr (est.)",,"J2A Systems, LLC",Remote,,,,,,
Data analyst Level 1,$35.00 /hr,$42.00,$38.50 /hr (est.),,"Computer Enterprises, Inc. (CEI)","Cincinnati, OH",Unknown,,Company - Public,,,Unknown / Non-Applicable
Data Analyst : 320637,$63.00 /hr,$67.00,$65.00 /hr (est.),4.5,"CorTech
4.5","San Francisco, CA",10000+ Employees,1999,Company - Private,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD)
Data Analyst,$50.00 /hr,$60.00,$55.00 /hr (est.),,Insight Global,"San Francisco, CA",,,,,,
Data Analyst - 100% REMOTE,$40.00 /hr,$46.00,$43.00 /hr (est.),5.0,"SGA
5.0",Remote,Unknown,,Company - Public,,,Unknown / Non-Applicable
Data Analyst - SQL/Excel,$68K ,$139K,"$97,144 /yr (est.)",4.8,"Ursus, Inc.
4.8","Menlo Park, CA",51 to 200 Employees,2015,Company - Private,Information Technology Support Services,Information Technology,$25 to $50 million (USD)
Data Analyst,$80K ,$85K,"$82,500 /yr (est.)",3.9,"Tatum by Randstad
3.9",Remote,10000+ Employees,1960,Company - Public,HR Consulting,Human Resources & Staffing,$10+ billion (USD)
Complaints Data Research Analyst - Excel,$53K ,$98K,"$72,308 /yr (est.)",4.3,"MATRIX Resources
4.3","Charlotte, NC",201 to 500 Employees,1983,Subsidiary or Business Segment,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD)
Consultant - Data Analyst,,,,3.3,"Infosys
3.3",Remote,10000+ Employees,1981,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD)
Data Consultant,$41K ,$66K,"$53,774 /yr (est.)",,NC Rate Bureau,"Raleigh, NC",,,,,,
"Analyst, Product Research, Telematics & Mobility Data Products",$62K ,$100K,"$81,200",3.9,"Liberty Mutual Insurance
3.9",Remote,10000+ Employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD)
Data Analyst,$97K ,$135K,"$116,000 /yr (est.)",3.6,"KEYENCE
3.6","Itasca, IL",5001 to 10000 Employees,1974,Company - Public,Machinery Manufacturing,Manufacturing,$5 to $10 million (USD)
Data Analyst + Apprentice (Entry-Level),$35K ,$45K,"$40,000 /yr (est.)",3.3,"New Apprenticeship
3.3","Raleigh, NC",1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable
Retail Floor Plan Analyst Planograms,$25.00 /hr,$27.00,$26.00 /hr (est.),3.8,"Bay State Search
3.8",Remote,501 to 1000 Employees,2002,Company - Private,Business Consulting,Management & Consulting,$500 million to $1 billion (USD)
"Strategy and Data Analyst, Sustainability",$79K ,$164K,"$113,864 /yr (est.)",4.0,"Uber
4.0","San Francisco, CA",10000+ Employees,2009,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
Administrative Assistant / Data Analyst Supporting the DEA,$20.58 /hr,$20.58,$20.58 /hr (est.),3.3,"FSA Federal
3.3","Cincinnati, OH",1001 to 5000 Employees,2004,Company - Private,HR Consulting,Human Resources & Staffing,$50 to $100 million (USD)
Customs Compliance Analyst,$39K ,$69K,"$51,933 /yr (est.)",3.6,"Primark - US
3.6","Boston, MA",10000+ Employees,1969,Subsidiary or Business Segment,"Department, Clothing & Shoe Stores",Retail & Wholesale,$2 to $5 billion (USD)
"Remote - Test Data Analyst (SQL queries, ALM, Excel)",$50.00 /hr,$55.00,$52.50 /hr (est.),,Compest Solutions Inc,Remote,,,,,,
Customs Compliance Analyst,$39K ,$69K,"$51,933 /yr (est.)",3.6,"Primark - US
3.6","Boston, MA",10000+ Employees,1969,Subsidiary or Business Segment,"Department, Clothing & Shoe Stores",Retail & Wholesale,$2 to $5 billion (USD)
Data Reporting Analyst,$65K ,$85K,"$75,000 /yr (est.)",4.4,"iTalent Digital
4.4",Remote,201 to 500 Employees,2005,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
"Remote - Test Data Analyst (SQL queries, ALM, Excel)",$50.00 /hr,$55.00,$52.50 /hr (est.),,Compest Solutions Inc,Remote,,,,,,
Saybrus Partners- Data Reporting Analyst,$50K ,$60K,"$54,815 /yr (est.)",3.5,"Saybrus Partners
3.5",Remote,51 to 200 Employees,2010,Company - Private,Insurance Agencies & Brokerages,Insurance,$100 to $500 million (USD)
Data Reporting Analyst,$65K ,$85K,"$75,000 /yr (est.)",4.4,"iTalent Digital
4.4",Remote,201 to 500 Employees,2005,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
REMOTE Data Analyst,$130K ,$150K,"$140,000 /yr (est.)",4.1,"CyberCoders
4.1","Los Angeles, CA",201 to 500 Employees,1999,Subsidiary or Business Segment,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD)
Data Analyst : 320637,$63.00 /hr,$67.00,$65.00 /hr (est.),4.5,"CorTech
4.5","San Francisco, CA",10000+ Employees,1999,Company - Private,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD)
Data analyst Level 1,$35.00 /hr,$42.00,$38.50 /hr (est.),,"Computer Enterprises, Inc. (CEI)","Cincinnati, OH",Unknown,,Company - Public,,,Unknown / Non-Applicable
Data Analyst,$75K ,$90K,"$82,500 /yr (est.)",,"J2A Systems, LLC",Remote,,,,,,
Data Analyst : 320637,$63.00 /hr,$67.00,$65.00 /hr (est.),4.5,"CorTech
4.5","San Francisco, CA",10000+ Employees,1999,Company - Private,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD)
Data Analyst,$50.00 /hr,$60.00,$55.00 /hr (est.),,Insight Global,"San Francisco, CA",,,,,,
Data Analyst,$50.00 /hr,$60.00,$55.00 /hr (est.),,Insight Global,"San Francisco, CA",,,,,,
Data Analyst - 100% REMOTE,$40.00 /hr,$46.00,$43.00 /hr (est.),5.0,"SGA
5.0",Remote,Unknown,,Company - Public,,,Unknown / Non-Applicable
Data Analyst - SQL/Excel,$68K ,$139K,"$97,144 /yr (est.)",4.8,"Ursus, Inc.
4.8","Menlo Park, CA",51 to 200 Employees,2015,Company - Private,Information Technology Support Services,Information Technology,$25 to $50 million (USD)
Data Analyst,$20.00 /hr,$20.00,$20.00 /hr (est.),,Noble Light Solutions LLC,Remote,,,,,,
Data Analyst,,,,4.9,"NucleusTeq
4.9",Remote,201 to 500 Employees,2018,Company - Private,Information Technology Support Services,Information Technology,$10 to $25 million (USD)
Data Analyst needed! Start ASAP!,$55K ,$65K,"$60,000 /yr (est.)",4.1,"Noor Staffing Group
4.1","New York, NY",51 to 200 Employees,2015,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable
Data Analyst,$75K ,$115K,"$95,000 /yr (est.)",,Delta Hire,Remote,Unknown,,Company - Private,,,Unknown / Non-Applicable
Optum Care Data Analyst,,,,4.4,"Intone Networks
4.4",Remote,201 to 500 Employees,,Company - Private,Information Technology Support Services,Information Technology,$10 to $25 million (USD)
Research Data Analyst,$83K ,$89K,"$86,000 /yr (est.)",,LeoRose Consulting,Remote,1 to 50 Employees,,Contract,,,Unknown / Non-Applicable
Consultant - Data Analyst,,,,3.3,"Infosys
3.3",Remote,10000+ Employees,1981,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD)
Data Consultant,$41K ,$66K,"$53,774 /yr (est.)",,NC Rate Bureau,"Raleigh, NC",,,,,,
"Analyst, Product Research, Telematics & Mobility Data Products",$62K ,$100K,"$81,200",3.9,"Liberty Mutual Insurance
3.9",Remote,10000+ Employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD)
Data Analyst,$97K ,$135K,"$116,000 /yr (est.)",3.6,"KEYENCE
3.6","Itasca, IL",5001 to 10000 Employees,1974,Company - Public,Machinery Manufacturing,Manufacturing,$5 to $10 million (USD)
Retail Floor Plan Analyst Planograms,$25.00 /hr,$27.00,$26.00 /hr (est.),3.8,"Bay State Search
3.8",Remote,501 to 1000 Employees,2002,Company - Private,Business Consulting,Management & Consulting,$500 million to $1 billion (USD)
Data Analyst + Apprentice (Entry-Level),$35K ,$45K,"$40,000 /yr (est.)",3.3,"New Apprenticeship
3.3","Raleigh, NC",1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable
"Strategy and Data Analyst, Sustainability",$79K ,$164K,"$113,864 /yr (est.)",4.0,"Uber
4.0","San Francisco, CA",10000+ Employees,2009,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
Administrative Assistant / Data Analyst Supporting the DEA,$20.58 /hr,$20.58,$20.58 /hr (est.),3.3,"FSA Federal
3.3","Cincinnati, OH",1001 to 5000 Employees,2004,Company - Private,HR Consulting,Human Resources & Staffing,$50 to $100 million (USD)
Customs Compliance Analyst,$39K ,$69K,"$51,933 /yr (est.)",3.6,"Primark - US
3.6","Boston, MA",10000+ Employees,1969,Subsidiary or Business Segment,"Department, Clothing & Shoe Stores",Retail & Wholesale,$2 to $5 billion (USD)
Saybrus Partners- Data Reporting Analyst,$50K ,$60K,"$54,815 /yr (est.)",3.5,"Saybrus Partners
3.5",Remote,51 to 200 Employees,2010,Company - Private,Insurance Agencies & Brokerages,Insurance,$100 to $500 million (USD)
Data Analyst Supporting the FBI,$25.29 /hr,$25.29,$25.29 /hr (est.),3.3,"FSA Federal
3.3","Linthicum, MD",1001 to 5000 Employees,2004,Company - Private,HR Consulting,Human Resources & Staffing,$50 to $100 million (USD)
REMOTE Data Analyst,$130K ,$150K,"$140,000 /yr (est.)",4.1,"CyberCoders
4.1","Los Angeles, CA",201 to 500 Employees,1999,Subsidiary or Business Segment,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD)
Data Reporting Analyst,$65K ,$85K,"$75,000 /yr (est.)",4.4,"iTalent Digital
4.4",Remote,201 to 500 Employees,2005,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
"Remote - Test Data Analyst (SQL queries, ALM, Excel)",$50.00 /hr,$55.00,$52.50 /hr (est.),,Compest Solutions Inc,Remote,,,,,,
Data analyst Level 1,$35.00 /hr,$42.00,$38.50 /hr (est.),,"Computer Enterprises, Inc. (CEI)","Cincinnati, OH",Unknown,,Company - Public,,,Unknown / Non-Applicable
Data Analyst,$75K ,$90K,"$82,500 /yr (est.)",,"J2A Systems, LLC",Remote,,,,,,
Data Analyst : 320637,$63.00 /hr,$67.00,$65.00 /hr (est.),4.5,"CorTech
4.5","San Francisco, CA",10000+ Employees,1999,Company - Private,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD)
Data Analyst,$50.00 /hr,$60.00,$55.00 /hr (est.),,Insight Global,"San Francisco, CA",,,,,,
Data Analyst - 100% REMOTE,$40.00 /hr,$46.00,$43.00 /hr (est.),5.0,"SGA
5.0",Remote,Unknown,,Company - Public,,,Unknown / Non-Applicable
Data Analyst,$50.00 /hr,$60.00,$55.00 /hr (est.),,Insight Global,"San Francisco, CA",,,,,,
Data Analyst - SQL/Excel,$68K ,$139K,"$97,144 /yr (est.)",4.8,"Ursus, Inc.
4.8","Menlo Park, CA",51 to 200 Employees,2015,Company - Private,Information Technology Support Services,Information Technology,$25 to $50 million (USD)
Data Analyst,$75K ,$115K,"$95,000 /yr (est.)",,Delta Hire,Remote,Unknown,,Company - Private,,,Unknown / Non-Applicable
Data Analyst needed! Start ASAP!,$55K ,$65K,"$60,000 /yr (est.)",4.1,"Noor Staffing Group
4.1","New York, NY",51 to 200 Employees,2015,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable
